matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
905f99b1b96694437545c9dd43d6c47bba6788a95276572952b413d16251557c,61.94,66.11,1.36,33.89,4.17,0.0,61.95,0.0,16.32,0.0,7.64,0.0,0.0,0
eb8e3c9939fae50102bdfa3e609d2e9f3883a03202064337b26f6a7b489ef34a,98.33,100.0,1.32,0.0,1.67,0.0,98.33,0.0,19.7,1.04,2.5,0.0,0.0,0
156e718167249dba1bdcae107cd8d0c76739167dd13287f74041611490f1c530,21.67,30.28,1.43,69.72,8.61,0.0,21.67,0.0,32.84,0.0,3.27,0.0,0.0,1
73605c27a02215e6e399eaa3215959b3a4fb9724ce32288318a8d35eda92e629,36.11,40.83,1.61,59.17,4.72,0.0,34.03,2.08,16.9,6.13,11.57,0.0,0.0,1
dd5897b5f7f0b1d7473c181e3abcca65d107313ab5101fc94137a24592d0e734,61.94,64.03,1.79,35.97,2.08,0.0,61.94,0.0,35.49,0.0,4.86,1.53,0.0,0
6d9113191d4f314f0099117bae8d5729e502b102015f98e2192e9d205f924ceb,69.44,72.5,1.21,27.5,3.06,0.0,69.44,0.0,15.46,0.0,4.32,0.0,0.0,0
84304d675b409753932ef66b0e5069d4fa302f940775d63297f2a2e06705e099,62.78,65.83,1.34,34.17,3.06,0.0,62.78,0.0,25.78,0.0,0.0,0.93,0.0,0
870d55debc5478b6ec69199091423f90265202c5115b0c3f0c590a72b08a60b4,48.47,56.25,1.48,43.75,7.78,0.0,48.47,0.0,18.33,2.02,2.38,1.39,0.0,0
487a781a827b435c417a765ed9e76a8430aed255685edf0f1d723e95885051e1,42.5,49.03,1.27,50.97,6.53,0.0,42.5,0.0,21.54,0.0,7.64,0.0,0.0,0
a62c34f789f389f92917b6ce71c15f7345392d470800151768c61edd67c5498b,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5ec373cd24966882a303c12e38848f33afaa15ac9ec69ee4d241ee4778097639,57.08,67.36,1.71,32.64,10.28,0.0,57.08,0.0,26.22,1.04,3.12,5.83,0.0,0
c86c3634886c08067a6ee577b310494556524b1c896da4e92e1eb3be13938257,47.36,54.58,1.5,45.42,7.22,0.0,47.36,0.0,26.27,0.0,5.36,5.0,0.0,0
925c32c834833d3bc870e03a89969eb31a48016844cec2e14e7244212d7002ce,51.94,59.17,1.66,40.83,7.22,0.0,51.95,0.0,26.31,2.78,6.06,0.0,0.0,0
b0bb88c31089a8ffdf9807bb81e02a7ae1fc14d6e751c0cd94d6e30c9d439555,0.0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
e6226769b81d3c94f146f14af7c8ced9eb546e041882f7084e760e039d69b7ca,73.89,76.95,1.84,23.06,3.06,0.0,70.42,3.47,29.21,1.67,4.05,2.5,0.0,0
