matricula_hash,Porcentagem media de problemas aceitos por contest,Porcentagem media de problemas que tiveram alguma tentativa por contest,Media do numero de submissoes em problemas aceitos,Porcentagem media de problemas sem submissoes por contest,Porcentagem media de problemas que tiveram poucas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e nao foram aceitos por contest,Porcentagem media de problemas que tiveram poucas tentativas e foram aceitos por contest,Porcentagem media de problemas que tiveram muitas tentativas e foram aceitos por contest,Porcentagem media de submissoes como 'Wrong Answer' por contest,Porcentagem media de submissoes como 'Compilation Error' por contest,Porcentagem media de submissoes como 'Presentation Error' por contest,Porcentagem media de submissoes como 'Runtime Error' por contest,Porcentagem media de submissoes como 'Time Limit Exceeded' por contest,Reprovado
0a6d27f42143da0f4255dee866b57c165ee2f5446cc6b0e8b346284e6961c0d7,73.33,84.72,1.78,15.28,9.31,2.08,73.33,0.0,37.78,0.6,2.48,1.06,0.0,0
8c1200ed8c1aa6119aa004f973d7151041b9635fbadf15947c0f040e96efdc13,51.39,64.44,2.16,35.56,11.67,1.39,51.39,0.0,47.82,1.68,11.49,1.39,0.0,0
7dbdab563e7e15aa95ac403a116a90f2e562da020bcfb2fb9272e5b60467b243,61.53,65.0,1.25,35.0,3.47,0.0,61.53,0.0,11.54,0.0,3.62,0.0,0.0,0
0cea6aeede252ac60167b0626adf2b05b7ae8127355c433ae34e30f4d699ef46,60.42,60.42,1.16,39.58,0.0,0.0,60.42,0.0,3.82,0.0,2.08,0.0,1.39,0
e6dff2507e2cded9b40679886cfb3d1efdf6c93e04429a15aa32bf7c42379014,32.08,40.55,2.38,59.44,8.47,0.0,29.03,3.06,27.07,11.11,7.99,0.0,0.0,1
52aca6821d84655184a01eea864739fdd027efa64e5d3dda746492a1d482592b,77.78,83.61,1.29,16.39,5.83,0.0,77.78,0.0,22.73,0.0,4.17,0.0,0.0,0
5d15b4c18169a969fb511d7c5e9500e4ee0d47f244f8f30bd161b382eb36ca3a,88.89,88.89,1.46,11.11,0.0,0.0,86.8,2.08,19.02,1.67,4.32,0.0,0.0,0
b62ab1a3cf13ed67703a0727ca2eddbadbac166ba79a660db16813f91c6ea703,18.47,23.89,2.25,76.11,5.42,0.0,18.47,0.0,38.61,5.56,1.39,0.0,0.0,1
871a769b73d78a5f7b08476bcfc74224cfbbc0484ac4245efbfe2629b451da70,94.17,94.17,1.36,5.83,0.0,0.0,94.17,0.0,17.51,1.19,2.23,1.67,0.0,0
c51d33a9e820fbb60a3550668e8d4905dab86d596809bf7feb2f572b3c90f458,91.67,91.67,1.29,8.33,0.0,0.0,89.58,2.08,13.34,0.0,2.23,0.0,0.0,0
65c5cceeda572ac4df5da80727121a381c55b55ecf23c2540c5c9e9bd56a6deb,50.56,65.0,1.59,35.0,12.36,2.08,50.55,0.0,43.09,0.0,4.68,0.0,0.0,0
c6226fb275c73f0679f124c7d0e7fc2811927d017d2398687f8ebb08706b739d,18.33,21.11,1.25,78.89,2.78,0.0,18.33,0.0,6.25,1.39,2.08,0.0,0.0,0
5f6d449c8d3031dca05469e64697092dd2e4dc4a19db4862541ddc0c63bad82c,13.89,15.28,1.22,84.72,1.39,0.0,13.89,0.0,4.46,0.0,0.0,0.0,0.0,1
1a1fcc78652119b699d463d980c28c912fe5706244aa67adf5b74c1415a40d1f,64.03,66.11,1.4,33.89,2.08,0.0,64.03,0.0,15.5,5.91,5.24,1.39,0.0,0
dbb58a782a8391f9362b61146ae301e107ef5d32fec11c4c80cb97a4c4f3b1fe,0.0,2.08,0,97.92,2.08,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,1
